seed,rule,k,learning_rate,weight_error,oracle,cycles,clean_total,clean_kept,outliers_left,removed_clean_pos_noise,removed_clean_neg_noise,kept_clean_mean_noise
6,ratio,3.0,0.5,0.014427178448811884,0.020566573628002686,3,903,810,0,43,50,0.004725823071770413
6,ratio,4.0,0.01,0.018548122039646175,0.020566573628002686,2,903,899,1,4,0,0.0015136134060467598
6,ratio,4.0,0.1,0.018487216736709684,0.020566573628002686,2,903,899,1,4,0,0.0015136134060467598
6,ratio,4.0,0.5,0.01852218600145045,0.020566573628002686,2,903,899,1,4,0,0.0015136134060467598
6,threshold,2.5,0.01,0.02580514032172313,0.020566573628002686,4,903,821,0,68,14,-0.006801845002682217
6,threshold,2.5,0.1,0.02582971477702386,0.020566573628002686,4,903,821,0,68,14,-0.006801845002682217
6,threshold,2.5,0.5,0.024333581546193465,0.020566573628002686,5,903,820,0,68,15,-0.006536950280933498
6,threshold,3.0,0.01,0.020759151976183228,0.020566573628002686,3,903,882,0,17,4,-9.104245670456405e-06
6,threshold,3.0,0.1,0.020777232034853325,0.020566573628002686,3,903,882,0,17,4,-9.104245670456405e-06
6,threshold,3.0,0.5,0.02079043006858192,0.020566573628002686,3,903,882,0,17,4,-9.104245670456405e-06
6,threshold,4.0,0.01,0.01980559818572158,0.020566573628002686,2,903,903,1,0,0,0.0024588526176024215
6,threshold,4.0,0.1,0.019767976884810093,0.020566573628002686,2,903,903,1,0,0,0.0024588526176024215
6,threshold,4.0,0.5,0.019760985340000793,0.020566573628002686,2,903,903,1,0,0,0.0024588526176024215
7,ratio,2.5,0.01,0.035994080862714835,0.0338817984808158,3,899,810,0,44,45,-0.002192340092835685
7,ratio,2.5,0.1,0.0360421629398925,0.0338817984808158,3,899,810,0,44,45,-0.002192340092835685
7,ratio,2.5,0.5,0.036032652631483524,0.0338817984808158,3,899,810,0,44,45,-0.002192340092835685
7,ratio,3.0,0.01,0.035994080862714835,0.0338817984808158,3,899,810,0,44,45,-0.002192340092835685
7,ratio,3.0,0.1,0.0360421629398925,0.0338817984808158,3,899,810,0,44,45,-0.002192340092835685
7,ratio,3.0,0.5,0.036032652631483524,0.0338817984808158,3,899,810,0,44,45,-0.002192340092835685
7,ratio,4.0,0.01,0.035994080862714835,0.0338817984808158,3,899,810,0,44,45,-0.002192340092835685
7,ratio,4.0,0.1,0.0360421629398925,0.0338817984808158,3,899,810,0,44,45,-0.002192340092835685
7,ratio,4.0,0.5,0.036032652631483524,0.0338817984808158,3,899,810,0,44,45,-0.002192340092835685
7,threshold,2.5,0.01,0.05661074196562093,0.0338817984808158,5,899,686,0,183,30,-0.02828119538272947
7,threshold,2.5,0.1,0.05659449075983582,0.0338817984808158,4,899,687,0,183,29,-0.028561259660272596
7,threshold,2.5,0.5,0.056595994665504946,0.0338817984808158,4,899,687,0,183,29,-0.028561259660272596
7,threshold,3.0,0.01,0.034927329432271004,0.0338817984808158,3,899,806,0,90,3,-0.01595965344391575
7,threshold,3.0,0.1,0.03493228140756496,0.0338817984808158,3,899,806,0,90,3,-0.01595965344391575
7,threshold,3.0,0.5,0.03494013973833349,0.0338817984808158,3,899,806,0,90,3,-0.01595965344391575
7,threshold,4.0,0.01,0.03299507711589852,0.0338817984808158,2,899,896,0,3,0,-0.003331255080633838
7,threshold,4.0,0.1,0.033000714724058654,0.0338817984808158,2,899,896,0,3,0,-0.003331255080633838
7,threshold,4.0,0.5,0.03301887482422027,0.0338817984808158,2,899,896,0,3,0,-0.003331255080633838
8,ratio,2.5,0.01,0.01375396369398562,0.009431332006626596,3,911,810,0,52,49,-0.002823763309658421
8,ratio,2.5,0.1,0.013751231286253794,0.009431332006626596,3,911,810,0,52,49,-0.002823763309658421
8,ratio,2.5,0.5,0.013759768324815258,0.009431332006626596,3,911,810,0,52,49,-0.002823763309658421
8,ratio,3.0,0.01,0.01375396369398562,0.009431332006626596,3,911,810,0,52,49,-0.002823763309658421
8,ratio,3.0,0.1,0.013751231286253794,0.009431332006626596,3,911,810,0,52,49,-0.002823763309658421
8,ratio,3.0,0.5,0.013759768324815258,0.009431332006626596,3,911,810,0,52,49,-0.002823763309658421
8,ratio,4.0,0.01,0.01375396369398562,0.009431332006626596,3,911,810,0,52,49,-0.002823763309658421
8,ratio,4.0,0.1,0.013751231286253794,0.009431332006626596,3,911,810,0,52,49,-0.002823763309658421
8,ratio,4.0,0.5,0.013759768324815258,0.009431332006626596,3,911,810,0,52,49,-0.002823763309658421
8,threshold,2.5,0.01,0.03469829525177373,0.009431332006626596,4,911,840,0,65,6,-0.013400030358653812
8,threshold,2.5,0.1,0.03473984439043934,0.009431332006626596,4,911,840,0,65,6,-0.013400030358653812
