seed,optimizer,batch,init,lr,weight_error,dist_to_star
2,Adam,SGD,zero,0.1,0.08827884043919541,0.08807152883388886
2,Adam,SGD,sparse,0.1,0.1111151258020704,0.10644324643570467
3,GD,full,random,0.01,0.19355832686508773,0.19752460563309324
3,GD,full,zero,0.01,0.08025858230602315,0.07404386361895915
3,GD,full,sparse,0.01,0.336410221291662,0.3355219611532093
3,GD,mini-batch,random,0.01,0.19821061668641077,0.20204467899836687
3,GD,mini-batch,zero,0.01,0.08147391449560418,0.07517040929394435
3,GD,mini-batch,sparse,0.01,0.3469828898103162,0.34617401927142627
3,GD,SGD,random,0.01,0.20470193018203556,0.20907586063468736
3,GD,SGD,zero,0.01,0.08202484365638492,0.07671622729480777
3,GD,SGD,sparse,0.01,0.33145117311395567,0.3310233822594383
3,AdaGrad,full,random,0.01,1.0480573038479002,1.0526633529369611
3,AdaGrad,full,zero,0.01,0.6379306276279915,0.6320885621486979
3,AdaGrad,full,sparse,0.01,1.004212576666096,1.0024318803412613
3,AdaGrad,mini-batch,random,0.01,1.0496867906889629,1.0542829946413477
3,AdaGrad,mini-batch,zero,0.01,0.6400742968723641,0.6342468073154027
3,AdaGrad,mini-batch,sparse,0.01,1.157740384747533,1.1563284713317081
3,AdaGrad,SGD,random,0.01,1.1053080551293781,1.1100635757812334
3,AdaGrad,SGD,zero,0.01,0.7457916034513746,0.7403535631937106
3,AdaGrad,SGD,sparse,0.01,1.5755337756549692,1.5743976040035248
3,RMSProp,full,random,0.01,0.014122076974078248,0.009999990701616585
3,RMSProp,full,zero,0.01,0.010140434712948962,0.009999990701614697
3,RMSProp,full,sparse,0.01,0.010140434712948926,0.009999990701614642
3,RMSProp,mini-batch,random,0.01,0.031134755952988234,0.026023055840452107
3,RMSProp,mini-batch,zero,0.01,0.031134755952988234,0.026023055840452107
3,RMSProp,mini-batch,sparse,0.01,0.031134755952988234,0.026023055840452107
3,RMSProp,SGD,random,0.01,0.03987491987555454,0.04656833901697651
3,RMSProp,SGD,zero,0.01,0.03715296864619065,0.042624391818066217
3,RMSProp,SGD,sparse,0.01,0.0493866202313956,0.05622561631696367
3,Adam,full,random,0.01,0.007086194977966997,0.001191464389808076
3,Adam,full,zero,0.01,0.009360137662980685,0.002438442348238362
3,Adam,full,sparse,0.01,0.007150589002480747,1.2904044414359589e-14
3,Adam,mini-batch,random,0.01,0.0105226019193868,0.007763581752482002
3,Adam,mini-batch,zero,0.01,0.011467597427251687,0.006922322466633553
3,Adam,mini-batch,sparse,0.01,0.013554104074070579,0.00983224145047971
3,Adam,SGD,random,0.01,0.030608057136286653,0.037431830132350914
3,Adam,SGD,zero,0.01,0.016439015227812444,0.017816903630926594
3,Adam,SGD,sparse,0.01,0.03144103604771417,0.03837193222774125
3,GD,full,random,0.1,0.0071505662167529295,4.7149239507751704e-08
3,GD,full,zero,0.1,0.007150600560721005,1.4862411775146374e-08
3,GD,full,sparse,0.1,0.00715058898334153,7.849054098191901e-08
3,GD,mini-batch,random,0.1,0.0142793551443595,0.009247862790681797
3,GD,mini-batch,zero,0.1,0.014279349544563086,0.00924782599315104
3,GD,mini-batch,sparse,0.1,0.014279391416324914,0.009247908863663997
3,GD,SGD,random,0.1,0.055996148464201416,0.06312278031087992
3,GD,SGD,zero,0.1,0.058602299789963376,0.06456234216936751
3,GD,SGD,sparse,0.1,0.06862419284821862,0.07568028394206196
3,AdaGrad,full,random,0.1,0.008033364559256413,0.0050004179308825464
3,AdaGrad,full,zero,0.1,0.01330654839730373,0.006580402608124617
3,AdaGrad,full,sparse,0.1,0.007150612477247372,3.634313715868373e-08
3,AdaGrad,mini-batch,random,0.1,0.014087166541269932,0.011621893311614909
3,AdaGrad,mini-batch,zero,0.1,0.015658759414482634,0.009537025779729896
3,AdaGrad,mini-batch,sparse,0.1,0.01346684995911123,0.008534431056398348
