seed,Optimizer,Batch Type,Init Type,Estimation Error,Weight Error
149,GD,mini-batch,zero,0.06223182197006104,0.292020154715821
149,AdaGrad,SGD,random,1.265213406830956,2.3273580682705743
149,AdaGrad,SGD,sparse,0.46982976977429763,2.2773712792846927
149,AdaGrad,SGD,zero,0.20805666704188147,0.7694440167401482
149,AdaGrad,full,random,0.8519591568118309,2.21222134020951
149,AdaGrad,full,sparse,0.3577160880452112,1.9449123557431982
149,AdaGrad,full,zero,0.10937485819372063,0.6862633511735083
149,AdaGrad,mini-batch,random,0.8716850094993442,2.2181532467300618
149,AdaGrad,mini-batch,sparse,0.4088829679616631,2.0607076430365754
149,AdaGrad,mini-batch,zero,0.11800034470351085,0.6962976431261987
149,RMSProp,SGD,random,0.023554177328156144,0.32120606793480166
149,RMSProp,SGD,sparse,0.02792517445645121,0.2612679068191414
149,RMSProp,SGD,zero,0.020070680833118523,0.16133557103844987
149,RMSProp,full,random,0.0593537193022407,0.23298685959258733
149,RMSProp,full,sparse,0.050700351993867576,0.21603866222360665
149,RMSProp,full,zero,0.050700351993867576,0.21603866222360665
149,RMSProp,mini-batch,random,0.04508741368857626,0.21127403526051763
149,RMSProp,mini-batch,sparse,0.04508673277203044,0.21123591803737582
149,RMSProp,mini-batch,zero,0.0450860388510355,0.21121147299118165
149,Adam,SGD,random,0.06650003745397703,0.644020885429997
149,Adam,SGD,sparse,0.05117976944724863,0.43876771323440983
149,Adam,SGD,zero,0.031597682026671486,0.2095884235029763
149,Adam,full,random,0.056551962164009206,0.2687713888540086
149,Adam,full,sparse,0.05491788109179162,0.2244511519889499
149,Adam,full,zero,0.05491794453551085,0.22445001749817978
149,Adam,mini-batch,random,0.05784934243138153,0.2902824888074802
149,Adam,mini-batch,sparse,0.03922194711940429,0.19556419805769132
149,Adam,mini-batch,zero,0.03917405130903747,0.19650748899650836
150,GD,SGD,random,0.03985101182719352,0.31147060697257145
150,GD,SGD,sparse,0.04871966779225419,0.49871042917073066
150,GD,SGD,zero,0.03393513983587807,0.2384702957220576
150,GD,full,random,0.03754200892101739,0.3143722037140576
150,GD,full,sparse,0.049498351571633244,0.4948740296753846
150,GD,full,zero,0.03281676798160444,0.22527899078488467
150,GD,mini-batch,random,0.03919076942457793,0.301537806037274
150,GD,mini-batch,sparse,0.050992745744303444,0.4836899580324463
150,GD,mini-batch,zero,0.035382483494045276,0.23025483272778693
150,AdaGrad,SGD,random,1.451076568328331,1.8107605982499648
150,AdaGrad,SGD,sparse,0.38028589284821984,2.1099398083030754
150,AdaGrad,SGD,zero,0.08868290339323157,0.5728145860793101
150,AdaGrad,full,random,1.0390584132920833,1.6903708408698135
150,AdaGrad,full,sparse,0.3234008145406914,1.921506157458206
150,AdaGrad,full,zero,0.04830763396447837,0.4655429749741708
150,AdaGrad,mini-batch,random,1.0575969042414728,1.6993510671696876
150,AdaGrad,mini-batch,sparse,0.3375227692354696,1.964286975270754
150,AdaGrad,mini-batch,zero,0.048157201463592335,0.47940724126972223
150,RMSProp,SGD,random,0.031247057794924593,0.18652673568027092
150,RMSProp,SGD,sparse,0.022950934243282154,0.22697868276966757
150,RMSProp,SGD,zero,0.026826786153873156,0.15557619061315103
150,RMSProp,full,random,0.027872829414879553,0.15445953694302492
150,RMSProp,full,sparse,0.02787282941487955,0.15445953694302483
150,RMSProp,full,zero,0.027872829414879553,0.15445953694302492
150,RMSProp,mini-batch,random,0.05644834545065331,0.22562971210378624
150,RMSProp,mini-batch,sparse,0.05644852037619169,0.22563237383359572
150,RMSProp,mini-batch,zero,0.05644845476044261,0.22563132449397236
150,Adam,SGD,random,0.0469586124785793,0.3934939491524504
150,Adam,SGD,sparse,0.05058547545320618,0.39286771160884354
150,Adam,SGD,zero,0.04089893679427696,0.23620308141266508
150,Adam,full,random,0.031789865724947235,0.19506993085419388
150,Adam,full,sparse,0.030770516992500833,0.16240548431696342
150,Adam,full,zero,0.030770569265646606,0.1623982109728104
150,Adam,mini-batch,random,0.03743535898645128,0.21027298604461986
150,Adam,mini-batch,sparse,0.04209294426691974,0.20316209933557372
150,Adam,mini-batch,zero,0.042582431706434457,0.2029288725239691
151,GD,SGD,random,0.044911862094292376,0.3013778749359874
151,GD,SGD,sparse,0.0509450472045759,0.30666421762703566
151,GD,SGD,zero,0.023088496515577216,0.16401138462773304
151,GD,full,random,0.058512865009009554,0.277277949979325
151,GD,full,sparse,0.059884947768004244,0.3089084400847916
151,GD,full,zero,0.05776567142414359,0.25718571301862686
151,GD,mini-batch,random,0.06158797217928811,0.2816659611842312
151,GD,mini-batch,sparse,0.06363920506310033,0.3110147317065074
151,GD,mini-batch,zero,0.060525459433500454,0.26374671681548834
151,AdaGrad,SGD,random,0.9662868182277657,1.3440482113106331
151,AdaGrad,SGD,sparse,0.17834995160792383,1.3652355506999045
151,AdaGrad,SGD,zero,0.22286828081567953,0.6524129697635644
151,AdaGrad,full,random,0.5950861008542307,1.2029944640678716
151,AdaGrad,full,sparse,0.13881827587565324,1.1015891939760474
151,AdaGrad,full,zero,0.09038923095580746,0.531136850064525
151,AdaGrad,mini-batch,random,0.6136580536574993,1.2096304662327946
151,AdaGrad,mini-batch,sparse,0.15957012896224243,1.1725782120464834
151,AdaGrad,mini-batch,zero,0.10100014024601286,0.5456684214710171
151,RMSProp,SGD,random,0.02947531787026145,0.2159757860216504
151,RMSProp,SGD,sparse,0.03306655654203946,0.20687720621001035
151,RMSProp,SGD,zero,0.01661103863286442,0.10210319467056553
151,RMSProp,full,random,0.060681448878977425,0.22857762325670303
151,RMSProp,full,sparse,0.060681448878977425,0.22857762325670303
151,RMSProp,full,zero,0.05180765643702986,0.2098937142233144
151,RMSProp,mini-batch,random,0.058246063718377386,0.235842487643049
151,RMSProp,mini-batch,sparse,0.05824544185799182,0.2358211415283123
151,RMSProp,mini-batch,zero,0.05824636161246537,0.23585134376435918
151,Adam,SGD,random,0.039225297159702445,0.38845185016773276
151,Adam,SGD,sparse,0.04765430354618276,0.32591972060267177
151,Adam,SGD,zero,0.020206406647846772,0.1602050117826635
151,Adam,full,random,0.05596607214509767,0.21769363306998504
151,Adam,full,sparse,0.05613727597043443,0.21920663928206913
151,Adam,full,zero,0.05613727685122017,0.21920665822481777
151,Adam,mini-batch,random,0.05932634850810731,0.2265792353415005
151,Adam,mini-batch,sparse,0.051954838121164304,0.2138293756071455
151,Adam,mini-batch,zero,0.053128279778373935,0.21634903778720194
152,GD,SGD,random,0.04096073494829148,0.3453474889416711
152,GD,SGD,sparse,0.039911405235702,0.43668404073692174
152,GD,SGD,zero,0.047612987552906175,0.2860470786830025
152,GD,full,random,0.10855129411220736,0.4496589066534666
152,GD,full,sparse,0.11607430226373662,0.5347997039227496
152,GD,full,zero,0.10175795647244384,0.35228994790291623
152,GD,mini-batch,random,0.08918079087916862,0.43663970065189234
152,GD,mini-batch,sparse,0.09615894887621455,0.5072857704480203
152,GD,mini-batch,zero,0.08286409932243978,0.3273739214170323
152,AdaGrad,SGD,random,0.4253314951966187,1.5006293120359804
152,AdaGrad,SGD,sparse,0.3815868618849019,1.8787866699435785
152,AdaGrad,SGD,zero,0.6022770632607615,0.8618978529092252
152,AdaGrad,full,random,0.2630032131828968,1.4415076130046056
152,AdaGrad,full,sparse,0.21907344561678557,1.3289593897750713
152,AdaGrad,full,zero,0.2982196490277798,0.6667778612138949
152,AdaGrad,mini-batch,random,0.2720438666787706,1.446340715908128
152,AdaGrad,mini-batch,sparse,0.2786354490699351,1.50215774627256
152,AdaGrad,mini-batch,zero,0.31932860658042306,0.6821502740285764
152,RMSProp,SGD,random,0.017213100771511697,0.24841358071767172
152,RMSProp,SGD,sparse,0.019998002411475334,0.33167731745580104
152,RMSProp,SGD,zero,0.01987675231013368,0.13539550882588797
152,RMSProp,full,random,0.09445385244660288,0.3199962157419022
152,RMSProp,full,sparse,0.09445385244660288,0.3199962157419022
152,RMSProp,full,zero,0.10669852639452068,0.3380442733109768
152,RMSProp,mini-batch,random,0.06660989227709463,0.29010875737539016
152,RMSProp,mini-batch,sparse,0.0666038373741047,0.28989578075077954
152,RMSProp,mini-batch,zero,0.06660265319777113,0.289907315480004
152,Adam,SGD,random,0.06433425776911962,0.45451318417960473
152,Adam,SGD,sparse,0.05088277023890707,0.4597779783198601
152,Adam,SGD,zero,0.06885304901326406,0.3169951786119129
152,Adam,full,random,0.1005616557321239,0.33161967435034423
